title;link;picture;description;category;date
Барселона – Порту, ПСЖ – Ньюкасл та інші матчі ЛЧ. Дивитися онлайн. LIVE;http://sport.ua/uk/news/654383-barselona-portu-pszh-nyukasl-ta-inshi-matchi-lch-divitisya-onlayn-live;https://pic.sport.ua/images/news/0/16/71/orig_654383.jpg;28 листопада проходять поєдинки 5-го туру Ліги чемпіонів;['Футбол', 'Ліга чемпіонів'];Tue, 28 Nov 2023 22:00:00 +0200
Галатасарай – Манчестер Юнайтед. Прогноз і анонс на матч Ліги чемпіонів;http://sport.ua/uk/news/654557-galatasaray-manchester-yunayted-prognoz-i-anons-na-match-ligi-chempioniv;https://pic.sport.ua/images/news/0/16/72/orig_654557.jpg;Поєдинок відбудеться 29 листопада о 19:45 за Києвом;['Футбол', 'Ліга чемпіонів'];Tue, 28 Nov 2023 21:54:00 +0200
Дар’я БЛАШКО: «Думаю, що усе буде гаразд, ми переможемо»;http://sport.ua/uk/news/654555-darya-blashko-dumayu-shcho-use-bude-garazd-mi-peremozhemo;https://pic.sport.ua/images/news/0/16/72/orig_654555.jpg;Біатлоністка збірної України – про думки перед початком виступів на Кубку світу;['Біатлон', 'Кубок світу'];Tue, 28 Nov 2023 21:54:00 +0200
Стала відома наступна суперниця Ястремської на турнірі в Андоррі;http://sport.ua/uk/news/654552-stala-vidoma-nastupna-supernitsya-yastremskoi-na-turniri-v-andorri;https://pic.sport.ua/images/news/0/16/72/orig_654552.jpg;Даяна змагатиметься проти колишньої 11-ї ракетки світу;['Теніс', 'WTA'];Tue, 28 Nov 2023 21:45:00 +0200
Реал Мадрид – Наполі. Прогноз і анонс на матч Ліги чемпіонів;http://sport.ua/uk/news/654554-real-madrid-napoli-prognoz-i-anons-na-match-ligi-chempioniv;https://pic.sport.ua/images/news/0/16/72/orig_654554.jpg;Поєдинок відбудеться 29 листопада о 22:00 за Києвом;['Футбол', 'Ліга чемпіонів'];Tue, 28 Nov 2023 21:44:00 +0200
Шахтар – Антверпен – 1:0. Як забив Матвієнко. Відео голу та огляд матчу;http://sport.ua/uk/news/654534-shahtar-antverpen-1-0-yak-zabiv-matviienko-video-golu-ta-oglyad-matchu;https://pic.sport.ua/images/news/0/16/72/orig_654534.jpg;Дивіться відеоогляд поєдинку 5-го туру Ліги чемпіонів;['Футбол', 'Ліга чемпіонів'];Tue, 28 Nov 2023 21:43:00 +0200
Дубль Іммобіле в кінцівці гри приніс Лаціо перемогу у матчі з Селтіком;http://sport.ua/uk/news/654551-dubl-immobile-v-kintsivtsi-gri-prinis-latsio-peremogu-u-matchi-z-seltikom;https://pic.sport.ua/images/news/0/16/72/orig_654551.jpg;Відбувся поєдинок у групі Е;['Футбол', 'Ліга чемпіонів'];Tue, 28 Nov 2023 21:41:00 +0200
Швидкий гол і два влучання в поперечину. Шахтар переміг Антверпен;http://sport.ua/uk/news/654546-shvidkiy-gol-i-dva-vluchannya-v-poperechinu-shahtar-peremig-antverpen;https://pic.sport.ua/images/news/0/16/72/orig_654546.jpg;Донецький клуб забезпечив собі євровесну;['Футбол', 'Ліга чемпіонів'];Tue, 28 Nov 2023 21:39:00 +0200
ФІБА продовжила відсторонення росіян та білорусів від міжнародних змагань;http://sport.ua/uk/news/654548-fiba-prodovzhila-vidstoronennya-rosiyan-ta-bilorusiv-vid-mizhnarodnih-zmagan;https://pic.sport.ua/images/news/0/16/72/orig_654548.jpg;Рішення було прийнято на засідання виконавчого комітету Міжнародної федерації баскетболу;['Баскетбол', 'Баскетбол в Європі'];Tue, 28 Nov 2023 21:29:00 +0200
Президент WBC розповів, що бій Джошуа – Вайлдер буде елімінатором;http://sport.ua/uk/news/654544-prezident-wbc-rozpoviv-shcho-biy-dzhoshua-vaylder-bude-eliminatorom;https://pic.sport.ua/images/news/0/16/72/orig_654544.jpg;Маурісіо Сулейман впевнений, що це було б втіленням мрії для вболівальників;['Бокс', 'WBC'];Tue, 28 Nov 2023 21:29:00 +0200
Хто не забив 2 пенальті? Аль-Хіляль вийшов у 1/8 фіналу Ліги чемпіонів Азії;http://sport.ua/uk/news/654550-hto-ne-zabiv-2-penalti-al-hilyal-viyshov-u-18-finalu-ligi-chempioniv-azii;https://pic.sport.ua/images/news/0/16/72/orig_654550.jpg;Голи у саудівської команди забили Малком та Аль-Давсарі;['Футбол', 'Саудівська Аравія'];Tue, 28 Nov 2023 21:23:00 +0200
Барселона – Порту. Прогноз і анонс на матч Ліги чемпіонів;http://sport.ua/uk/news/654461-barselona-portu-prognoz-i-anons-na-match-ligi-chempioniv;https://pic.sport.ua/images/news/0/16/72/orig_654461.jpg;Поєдинок відбудеться 28 листопада о 22:00 за Києвом;['Футбол', 'Ліга чемпіонів'];Tue, 28 Nov 2023 21:15:00 +0200
ВІДЕО. Азаров та Степаненко влучили у поперечину в другому таймі;http://sport.ua/uk/news/654549-video-azarov-ta-stepanenko-vluchili-u-poperechinu-v-drugomu-taymi;https://pic.sport.ua/images/news/0/16/72/orig_654549.jpg;Донецька команда вперед 1:0 у другому таймі матчу ЛЧ із Антверпеном;['Футбол', 'Ліга чемпіонів'];Tue, 28 Nov 2023 21:08:00 +0200
Роналду та Мессі не в топ-5. Названо найкращих вінгерів в історії футболу;http://sport.ua/uk/news/654543-ronaldu-ta-messi-ne-v-top-5-nazvano-naykrashchih-vingeriv-v-istorii-futbolu;https://pic.sport.ua/images/news/0/16/72/orig_654543.jpg;Найкращим вінгером визнано Гаррінчу;['Футбол', 'Інші новини'];Tue, 28 Nov 2023 21:07:00 +0200
ВІДЕО. Жіноча збірна України з гандболу прибула на чемпіонат світу 2023;http://sport.ua/uk/news/654547-video-zhinocha-zbirna-ukraini-z-gandbolu-pribula-na-chempionat-svitu-2023;https://pic.sport.ua/images/news/0/16/72/orig_654547.jpg;Свої виступи на турнірі українки розпочнуть завтра, 29 листопада;['Інші види', 'Гандбол'];Tue, 28 Nov 2023 21:06:00 +0200
Манчестер Сіті – РБ Лейпциг. Прогноз і анонс на матч Ліги чемпіонів;http://sport.ua/uk/news/654460-manchester-siti-rb-leyptsig-prognoz-i-anons-na-match-ligi-chempioniv;https://pic.sport.ua/images/news/0/16/72/orig_654460.jpg;Поєдинок відбудеться 28 листопада о 22:00 за Києвом;['Футбол', 'Ліга чемпіонів'];Tue, 28 Nov 2023 21:01:00 +0200
Катерина КОЗАК: «Дуже рада, що тренер повірив у мене»;http://sport.ua/uk/news/654545-katerina-kozak-duzhe-rada-shcho-trener-poviriv-u-mene;https://pic.sport.ua/images/news/0/16/72/orig_654545.jpg;Права крайня збірної України – про потрапляння до заявки на чемпіонат світу 2023;['Інші види', 'Гандбол'];Tue, 28 Nov 2023 20:58:00 +0200
КДК пояснив, чому не потрібно було вилучати гравця Полісся у грі з Шахтарем;http://sport.ua/uk/news/654542-kdk-poyasniv-chomu-ne-potribno-bulo-viluchati-gravtsya-polissya-u-gri-z-shahtarem;https://pic.sport.ua/images/news/0/16/72/orig_654542.jpg;Комітет арбітрів роз'яснив суперечливий епізод;"['Футбол', ""Україна. Прем'єр Ліга""]";Tue, 28 Nov 2023 20:55:00 +0200
Юлія АНДРІЙЧУК: «Вражені тим, що змогли нарешті вийти на такий турнір»;http://sport.ua/uk/news/654541-yuliya-andriychuk-vrazheni-tim-shcho-zmogli-nareshti-viyti-na-takiy-turnir;https://pic.sport.ua/images/news/0/16/72/orig_654541.jpg;Ліва півсередня збірної України з гандболу – про початок чемпіонату світу;['Інші види', 'Гандбол'];Tue, 28 Nov 2023 20:51:00 +0200
У 50-му матчі. Матвієнко відзначився дебютним голом у єврокубках;http://sport.ua/uk/news/654540-u-50-mu-matchi-matviienko-vidznachivsya-debyutnim-golom-u-ievrokubkah;https://pic.sport.ua/images/news/0/16/72/orig_654540.jpg;Захисник «Шахтаря» відкрив рахунок голам у Лізі чемпіонів;['Футбол', 'Ліга чемпіонів'];Tue, 28 Nov 2023 20:36:00 +0200
